word,status,sbert_tokenization,llama_tokenization,4o-mini_word
wholesalers-garnier,OOV,"wholesale,##rs,-,ga,##rnier","wh,oles,alers,-g,arn,ier",garnier
wholesalers-glow,OOV,"wholesale,##rs,-,glow","wh,oles,alers,-g,low",
wholesalers-himalaya,OOV,"wholesale,##rs,-,him,##ala,##ya","wh,oles,alers,-h,imal,aya",himalaya
wholesalers-lakme,OOV,"wholesale,##rs,-,la,##km,##e","wh,oles,alers,-l,ak,me",
wholesalers-milton,OOV,"wholesale,##rs,-,milton","wh,oles,alers,-m,ilton",milton
wholesalers-olivia,OOV,"wholesale,##rs,-,olivia","wh,oles,alers,-,ol,ivia",olivia
wholesalers-rica,OOV,"wholesale,##rs,-,rica","wh,oles,alers,-,rica",rica
wholesalers-shahnaz,OOV,"wholesale,##rs,-,shah,##na,##z","wh,oles,alers,-sh,ahn,az",
wholesalers-vlcc,OOV,"wholesale,##rs,-,v,##lc,##c","wh,oles,alers,-v,l,cc",
wigs,OOV,"wig,##s","w,igs",wigs
wrapper,Present,"wrap,##per",wrapper,wrapper
wrinkle,OOV,"wr,##ink,##le","wr,inkle",wrinkle
wrinkling,OOV,"wr,##ink,##ling","wr,ink,ling",wrinkling
yaki,OOV,"ya,##ki","y,aki",yaki
ylg,OOV,"y,##l,##g","yl,g",ylg
zardosi,OOV,"za,##rdo,##si","z,ard,osi",zardosi
zazzle,OOV,"za,##zzle","z,azz,le",zazzle
zumba,OOV,"zu,##mba","z,umba",zumba
